,City,Country,Date,Lat,Lng,Cloudiness %,Humidity %,Max temp (F),Wind speed (mph)
0,Qaanaaq,GL,1658532169,77.484,-69.3632,100,94,37.9,7.99
1,Hermanus,ZA,1658532169,-34.4187,19.2345,100,83,53.8,12.97
2,Mataura,NZ,1658532170,-46.1927,168.8643,13,80,37.47,2.93
3,Helena,US,1658532170,46.5927,-112.0361,0,25,87.17,21.85
4,Atuona,PF,1658532170,-9.8,-139.0333,11,77,77.7,14.9
5,La Ronge,CA,1658532171,55.1001,-105.2842,100,67,59.25,11.5
6,Vao,NC,1658532171,-22.6667,167.4833,89,88,74.55,24.7
7,Arraial do Cabo,BR,1658532171,-22.9661,-42.0278,2,87,71.62,17.74
8,Alugan,PH,1658532172,12.2188,125.4808,100,81,81.18,1.59
9,Matara,LK,1658532172,5.9485,80.5353,99,89,77.59,13.47
10,Rikitea,PF,1658532173,-23.1203,-134.9692,100,75,72.09,9.84
11,Ushuaia,AR,1658532020,-54.8,-68.3,75,87,35.26,16.11
12,Nelson Bay,AU,1658531929,-32.7167,152.15,91,86,64.0,1.01
13,Gornyak,RU,1658532174,50.9942,81.4661,23,69,58.62,4.72
14,Torbay,CA,1658532174,47.6666,-52.7314,75,70,72.88,9.22
15,Cidreira,BR,1658532175,-30.1811,-50.2056,98,94,62.94,5.66
16,Saint-Philippe,RE,1658532175,-21.3585,55.7679,47,84,65.79,14.32
17,Saint George,US,1658532125,37.1041,-113.5841,0,13,108.63,19.57
18,Ponta do Sol,PT,1658532176,32.6667,-17.1,15,80,71.71,4.72
19,Broken Hill,AU,1658532176,-31.95,141.4333,99,67,56.14,8.86
20,Saskylakh,RU,1658532176,71.9167,114.0833,92,59,53.08,7.65
21,Port Hardy,CA,1658531895,50.6996,-127.4199,75,82,60.98,10.36
22,Saint-Augustin,CA,1658532177,51.226,-58.6502,100,91,57.72,11.27
23,Saint Paul Harbor,US,1658532135,57.79,-152.4072,100,67,54.91,10.36
24,Nome,US,1658532008,64.5011,-165.4064,100,87,49.15,10.36
25,Khanbari,NP,1658532177,27.3747,87.2039,100,93,71.91,3.13
26,Talnakh,RU,1658531924,69.4865,88.3972,50,52,67.21,3.87
27,Tooele,US,1658531987,40.5308,-112.2983,0,23,95.65,14.97
28,Hithadhoo,MV,1658532178,-0.6,73.0833,100,72,81.84,7.85
29,Itarema,BR,1658532178,-2.9248,-39.9167,79,78,79.36,15.52
30,Nikolskoye,RU,1658531911,59.7035,30.7861,16,79,67.91,5.64
31,Dudinka,RU,1658532179,69.4058,86.1778,69,62,67.62,8.57
32,São Filipe,CV,1658532179,14.8961,-24.4956,72,81,75.18,1.83
33,Tasiilaq,GL,1658532070,65.6145,-37.6368,34,73,37.56,7.94
34,Airai,TL,1658532180,-8.9266,125.4092,92,73,55.15,3.02
35,Ugoofaaru,MV,1658532180,5.6667,73.0,100,77,81.77,17.09
36,Malysheva,RU,1658532181,57.1185,61.4035,34,94,55.62,5.08
37,Camopi,GF,1658532181,3.1655,-52.3158,98,97,72.9,3.11
38,New Norfolk,AU,1658532181,-42.7826,147.0587,100,85,51.93,2.35
39,Itupiranga,BR,1658532182,-5.1347,-49.3267,27,49,77.32,0.98
40,Mayo,US,1658531907,38.8876,-76.5119,0,61,93.92,8.05
41,Guerrero Negro,MX,1658532182,27.9769,-114.0611,21,60,75.09,21.43
42,Ribeira Grande,PT,1658532183,38.5167,-28.7,80,89,73.65,5.73
43,Bambous Virieux,MU,1658532056,-20.3428,57.7575,75,88,68.25,10.36
44,Cape Town,ZA,1658532001,-33.9258,18.4232,75,92,55.89,5.75
45,Kapaa,US,1658532183,22.0752,-159.319,20,64,84.52,14.97
46,Tuktoyaktuk,CA,1658531911,69.4541,-133.0374,75,73,69.8,8.05
47,Albany,US,1658532031,42.6001,-73.9662,46,52,85.68,4.65
48,Malabo,GQ,1658532055,3.75,8.7833,100,92,75.58,6.55
