,City,Country,Date,Lat,Lng,Cloudiness %,Humidity %,Max temp (F),Wind speed (mph)
0,Hilo,US,1659222514,19.7297,-155.09,100,77,90.28,10.36
1,Ribeira Grande,PT,1659222810,38.5167,-28.7,15,68,74.46,2.04
2,Haines Junction,CA,1659222810,60.7522,-137.5108,82,41,71.51,7.14
3,Lufilufi,WS,1659222811,-13.8745,-171.5986,24,79,79.79,20.11
4,Hong Kong,HK,1659222550,22.2855,114.1577,39,86,86.38,3.0
5,Kubrat,BG,1659222811,43.8,26.5,64,79,67.78,5.93
6,Hobart,AU,1659222812,-42.8794,147.3294,75,78,48.25,3.44
7,Ushuaia,AR,1659222524,-54.8,-68.3,40,70,42.46,23.02
8,Nikolskoye,RU,1659222812,59.7035,30.7861,4,97,56.8,4.59
9,Jamestown,US,1659222529,42.097,-79.2353,20,50,73.02,8.05
10,George Town,MY,1659222684,5.4112,100.3354,20,89,80.53,2.3
11,Rikitea,PF,1659222813,-23.1203,-134.9692,10,76,72.07,15.37
12,Bay Roberts,CA,1659222813,47.5999,-53.2648,100,94,68.14,5.99
13,Barrow,US,1659222717,71.2906,-156.7887,100,87,35.62,6.91
14,Vaini,TO,1659222814,-21.2,-175.2,40,89,80.76,12.66
15,Chicama,PE,1659222814,-7.8447,-79.1469,35,77,61.34,8.23
16,Mar del Plata,AR,1659222529,-38.0023,-57.5575,0,92,53.1,5.01
17,Yellowknife,CA,1659222815,62.456,-114.3525,73,53,63.88,7.11
18,Bredasdorp,ZA,1659222815,-34.5322,20.0403,90,86,47.34,5.61
19,Port Hardy,CA,1659222619,50.6996,-127.4199,34,77,67.53,13.2
20,Leningradskiy,RU,1659222816,69.3833,178.4167,71,59,51.13,6.06
21,Cape Town,ZA,1659222620,-33.9258,18.4232,20,94,50.11,2.3
22,Casa Nova,BR,1659222816,-9.4167,-41.1333,20,43,82.69,4.97
23,Moerai,PF,1659222816,-22.4333,-151.3333,2,69,72.45,17.96
24,Upernavik,GL,1659222817,72.7868,-56.1549,100,82,44.85,7.27
25,Ulagan,RU,1659222817,50.6321,87.9563,99,78,57.33,1.07
26,Grindavik,IS,1659222817,63.8424,-22.4338,75,81,50.47,9.22
27,Provideniya,RU,1659222818,64.3833,-173.3,96,64,53.89,4.45
28,Biak,ID,1659222818,-0.9131,122.8766,92,89,75.51,5.39
29,Midland,US,1659222137,31.9974,-102.0779,0,20,99.68,14.97
30,Tasiilaq,GL,1659222819,65.6145,-37.6368,21,60,44.76,4.97
31,Mataura,NZ,1659222819,-46.1927,168.8643,99,95,40.17,5.99
32,Saint-Philippe,RE,1659222706,-21.3585,55.7679,64,81,71.11,16.28
33,Cidreira,BR,1659222819,-30.1811,-50.2056,0,80,54.21,6.04
34,Kapaa,US,1659222820,22.0752,-159.319,20,67,85.98,11.5
35,Port-Gentil,GA,1659222820,-0.7193,8.7815,40,83,75.16,10.36
36,Atuona,PF,1659222821,-9.8,-139.0333,11,78,76.87,16.49
37,Hasaki,JP,1659222821,35.7333,140.8333,95,77,84.6,3.31
38,Puerto Ayora,EC,1659222821,-0.7393,-90.3518,58,86,72.55,5.99
39,Avarua,CK,1659222822,-21.2078,-159.775,75,74,80.65,18.41
40,Carnarvon,AU,1659222668,-24.8667,113.6333,63,59,58.55,13.04
41,Punta Arenas,CL,1659222822,-53.15,-70.9167,40,70,41.11,16.11
42,Syumsi,RU,1659222823,57.1111,51.6149,100,76,61.97,0.29
43,Hithadhoo,MV,1659222823,-0.6,73.0833,100,76,80.67,18.12
44,Tuktoyaktuk,CA,1659222823,69.4541,-133.0374,77,64,43.12,3.58
45,Najrān,SA,1659222824,17.4924,44.1277,99,34,84.9,0.92
46,Port Blair,IN,1659222824,11.6667,92.75,100,83,81.32,9.42
47,Iqaluit,CA,1659222825,63.7506,-68.5145,100,100,38.7,5.01
48,Saskylakh,RU,1659222825,71.9167,114.0833,100,96,56.39,10.87
49,Pointe Michel,DM,1659222825,15.25,-61.3833,30,85,81.0,15.93
50,Dikson,RU,1659222826,73.5069,80.5464,17,93,40.69,11.43
51,Imbituba,BR,1659222826,-28.24,-48.6703,1,94,53.1,0.74
52,Constitución,CL,1659222827,-35.3333,-72.4167,100,83,52.11,2.84
53,Busselton,AU,1659222827,-33.65,115.3333,97,68,55.02,10.78
54,Barra da Estiva,BR,1659222828,-13.6261,-41.3269,2,40,68.02,2.28
55,Irbeyskoye,RU,1659222828,55.6428,95.4522,87,95,61.47,8.08
56,Chapais,CA,1659222828,49.7834,-74.8492,82,66,67.71,11.54
57,Sobolevo,RU,1659222829,54.4299,31.8996,89,80,54.54,3.83
58,Tateyama,JP,1659222829,34.9833,139.8667,41,81,86.09,12.46
59,Port Elizabeth,ZA,1659222829,-33.918,25.5701,11,76,53.6,15.61
60,Longyearbyen,SJ,1659222830,78.2186,15.6401,75,81,49.84,6.91
61,Luanda,AO,1659222538,-8.8368,13.2343,0,92,67.87,10.2
62,Ruidoso,US,1659222830,33.3317,-105.673,86,60,73.15,5.75
63,Luang Prabang,LA,1659222831,19.8856,102.1347,98,99,74.03,0.69
64,Hermanus,ZA,1659222831,-34.4187,19.2345,71,71,45.81,6.53
65,Khāmgaon,IN,1659222832,20.6833,76.5667,83,86,77.23,6.82
66,Saint Paul Harbor,US,1659222832,57.79,-152.4072,100,77,62.11,9.22
67,Launceston,AU,1659222619,-41.45,147.1667,100,81,51.8,10.36
68,Sarkand,KZ,1659222832,45.41,79.9186,82,50,65.35,6.69
69,Urubichá,BO,1659222833,-15.3833,-62.95,3,47,73.06,2.21
70,Anadyr,RU,1659222833,64.75,177.4833,100,51,59.49,2.59
71,Wamba,NG,1659222833,8.9333,8.6,100,96,70.27,0.67
72,Kloulklubed,PW,1659222834,7.0419,134.2556,100,75,81.1,11.36
73,Albany,US,1659222706,42.6001,-73.9662,20,54,79.05,9.73
74,Podgornoye,RU,1659222834,51.735,39.1496,0,72,61.02,2.24
